sep=;
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_952.01;Dead or Alive 2
PBPX_955.06;Official PlayStation 2 Magazine Demo Disc 2001
SCES_500.02;FantaVision
SCES_502.40;Extermination
SCES_502.44;This is Football 2002
SCES_502.93;ATV Off-Road
SCES_504.08;PaRappa the Rapper 2
SCES_504.59;Dropship - United Peace Force
SCES_504.90;Final Fantasy X
SCES_504.90;Final Fantasy X
SCES_504.92;Final Fantasy X
SCES_504.92;Final Fantasy X
SCES_505.00;Headhunter
SCES_505.22;Disney Peter Pan - Adventures in Neverland
SCES_505.95;Disney-Pixar Monsters Inc.
SCES_506.00;Disney Monster Inc. - Scare Island
SCES_506.11;Space Channel 5
SCES_506.12;Space Channel 5 - Part 2
SCES_507.59;Virtua Fighter 4
SCES_507.81;Destruction Derby Arena [Beta, Promo, & Full Retail]
SCES_508.87;Alpine Racer 3
SCES_509.28;SOCOM - U.S. Navy SEALs [Beta & Full Release]
SCES_509.66;Disneys Stitch - Experiment 626
SCES_510.04;Formula One 2002
SCES_510.39;This is Football 2003
SCES_511.77;Disneys Treasure Planet
SCES_512.24;War of the Monsters
SCES_515.92;Formula One 2003
SCES_519.10;Arc the Lad - Twilight of the Spirits
SCES_520.33;Syphon Filter - The Omega Strain
SCES_523.27;Forbidden Siren
SCES_523.29;Forbidden Siren
SCES_524.60;Jak 3
SCES_525.30;Crisis Zone
SCES_525.82;Everybodys Golf
SCES_530.54;Death by Degrees
SCES_532.85;Ratchet - Gladiator
SCES_533.10;Roland Garros 2005 - Powered by Smash Court Tennis
SCES_534.49;AFL Premiership 2005
SCES_539.60;B-Boy
SCES_540.68;AFL Premiership 2006
SCES_545.35;Everybodys Tennis
SCKA_200.01;XI5
SCKA_200.02;Time Crisis II
SCKA_200.03;War of the Monsters - Kaijuu Daigekisen
SCKA_200.04;Sly Cooper and the Thievius Raccoonus
SCKA_200.05;Lets Bravo Music
SCKA_200.06;Argus-ui Jeonsa (Korea)
SCKA_200.07;SOCOM - U.S. Navy SEALs
SCKA_200.08;Tales of Destiny 2
SCKA_200.09;R-Type Final
SCKA_200.10;Jak II
SCKA_200.12;Ark the Lad - jeongryeongui Hwanghon
SCKA_200.14;Dark Claud 2
SCKA_200.15;Time Crisis 3
SCKA_200.19;Siren
SCKA_200.20;SOCOM II - U.S. Navy SEALs
SCKA_200.23;Fatal Frame 2
SCKA_200.25;Katamari Damacy
SCKA_200.26;Gungrave O.D.
SCKA_200.31;ATHENS 2004
SCKA_200.32;Syphon Filter - The Omega Virus
SCKA_200.38;Time Crisis - Crisis Zone
SCKA_200.39;Tekken Nina Williams In Death By Degree
SCKA_200.40;Jak 3
SCKA_200.43;Magna Carta
SCKA_200.44;Sly Cooper 2 Band of Thieves
SCKA_200.47;Armored Core - Nine Breaker
SCKA_200.49;Tekken 5
SCKA_200.50;Tales of Legendia
SCKA_200.51;Minna Daisuki Katamari Damacy
SCKA_200.52;Genji
SCKA_200.55;Mystic Nights
SCKA_200.57;Everybodys Golf 4 (Korea)
SCKA_200.58;Bumpy Trot
SCKA_200.63;Sly 3 - Honor Among Thieves
SCKA_200.68;DISNEYS PIXAR - CARS
SCKA_200.69;Forbidden Siren 2
SCKA_200.84;MONSTER HOUSE
SCKA_200.90;GOD HAND
SCKA_200.96;Barnyard
SCKA_200.98;SPONGEBOB SQUAREPANTS - CREATURE FROM THE KRUSTY KRAB
SCKA_200.99;Persona 3
SCKA_201.09;Persona 3 - Fes [Independent Starting Version]
SCKA_201.14;Obscure II - The Aftermath
SCKA_201.32;Persona 4
SCKA_300.02;God of War
SCKA_300.06;God of War 2
SCPS_110.01;I.Q. Remix
SCPS_110.02;Fantavision
SCPS_110.03;Ico
SCPS_110.05;Sagashi ni Ikouyo - Go to Find It!
SCPS_110.06;Sky Gunner
SCPS_110.07;Tsuganai
SCPS_110.10;Yoake no Mariko [with Microphone]
